State,Sheltered Homeless Population,Individuals Sheltered,Families Sheltered,Unaccompanied Youth Sheltered
Alabama,1626,1165,461,55
Alaska,1797,1295,502,195
Arizona,5460,3304,2165,249
Arkansas,1470,1204,266,129
California,51429,32910,18519,2526
Colorado,8016,5569,2447,293
Connecticut,2165,1504,661,96
Delaware,1579,736,843,41
District of Columbia,4430,3195,1235,311
Florida,13393,8412,4981,686
Georgia,5232,3111,2121,202
Hawaii,2490,1142,1348,56
Idaho,1017,591,426,92
Illinois,6933,4065,2868,492
Indiana,4050,2765,1285,180
Iowa,2006,1321,685,100
Kansas,1600,1113,487,99
Kentucky,2287,1704,583,159
Louisiana,1613,1150,463,127
Maine,2063,1278,785,107
Maryland,4048,2764,1284,252
Massachusetts,13944,4278,9666,351
Michigan,6546,3768,2778,370
Minnesota,6461,3716,2745,505
Mississippi,359,271,88,16
Missouri,4079,2359,1720,338
Montana,1168,744,424,42
Nebraska,1776,1280,496,125
Nevada,3293,2748,545,224
New Hampshire,1171,649,552,42
New Jersey,7443,4821,2622,340
New Mexico,1972,1217,755,143
New York,76051,37793,38258,2421
North Carolina,5612,3609,2003,207
North Dakota,474,290,184,45
Ohio,7762,5020,2742,506
Oklahoma,2331,1674,657,223
Oregon,5178,4167,1011,301
Pennsylvania,9364,5450,3914,446
Rhode Island,1086,614,472,35
South Carolina,2042,1552,490,112
South Dakota,817,517,300,66
Tennessee,3443,2678,765,130
Texas,11275,7518,3757,799
Utah,2410,1664,746,132
Vermont,2591,1962,629,204
Virginia,5335,3430,1905,194
Washington,11511,7013,4498,726
West Virginia,823,682,141,65
Wisconsin,3996,2275,1721,153
Wyoming,405,247,158,42
,,,,
